"code";"deb_sem";"abon";"abv";"abz";"ahh";"ajb";"ambl";"ants";"atb";"bel";"bela";"bhk";"boe";"bos";"cda";"die";"diri";"do";"dri";"ejd";"far";"fito";"fns";"iho";"mae";"mand";"mdv";"mhj";"mia";"miad";"mjr";"mnj";"mnld";"mora";"mrb";"mrg";"mrt";"mtn";"nsb";"samp";"sbv";"sm";"stm";"tanb";"tdd";"tgr";"tlr";"toa";"tomp";"tsar";"tsim";"tsl";"velo";"vink";"vola"
"2016_41";"2016-10-10";0;32;0;9;1;2;6;2;20;1;1;21;4;2;3;0;0;9;0;62;2;5;3;83;0;21;1;38;7;3;91;4;1;53;3;28;47;17;2;5;0;7;1;4;2;10;58;2;1;25;1;1;0;1
"2016_40";"2016-10-03";0;31;2;3;1;0;6;0;82;3;3;14;0;0;3;1;1;2;8;71;5;0;2;41;0;6;7;44;1;1;47;0;2;48;3;12;31;10;1;20;2;4;4;23;0;13;41;4;1;23;2;0;0;1
"2016_39";"2016-09-26";1;1;1;18;1;2;10;2;38;4;3;38;0;0;1;0;0;5;1;57;5;4;0;65;1;16;7;40;1;2;106;3;0;8;9;12;12;9;0;21;1;3;5;14;3;15;59;4;0;14;1;2;0;0
"2016_38";"2016-09-19";1;12;1;4;0;1;9;2;48;0;5;24;0;2;2;0;0;16;8;38;1;4;10;17;1;20;5;58;0;1;101;3;1;50;5;17;0;16;0;12;2;3;3;5;8;4;8;1;1;11;0;0;0;1
"2016_37";"2016-09-12";1;19;2;33;2;1;1;7;90;3;3;11;4;2;3;1;1;7;1;17;4;4;7;7;0;18;1;18;2;1;92;4;1;13;12;21;29;22;0;17;2;4;0;4;8;13;31;3;1;16;1;2;2;1
"2016_36";"2016-09-05";0;22;1;31;2;2;0;6;40;4;4;24;3;1;0;1;1;16;9;5;1;3;8;61;0;11;0;45;4;3;52;4;0;28;1;23;28;0;3;23;1;4;0;23;0;0;66;0;1;17;2;1;1;1
"2016_35";"2016-08-29";0;23;2;27;1;2;2;8;14;0;0;1;4;0;0;0;1;12;6;68;5;2;6;82;1;15;3;43;3;1;7;0;1;58;13;29;7;10;3;10;0;5;0;25;0;14;59;0;0;3;1;1;2;0
"2016_34";"2016-08-22";1;27;0;6;1;1;0;6;44;2;4;29;1;1;3;1;2;13;8;93;0;3;10;48;1;28;7;18;6;1;86;1;2;45;8;3;5;22;0;6;2;8;3;15;6;4;30;2;0;12;2;2;0;1
"2016_33";"2016-08-15";1;31;2;11;1;1;0;0;33;2;2;20;0;0;4;1;1;1;2;5;5;4;1;39;0;9;8;54;5;3;28;3;2;32;12;9;4;13;0;3;2;2;2;24;5;10;61;0;1;6;1;0;1;0
"2016_32";"2016-08-08";0;18;3;31;1;0;12;8;64;4;2;4;3;1;0;0;1;12;0;5;4;3;1;34;0;3;0;21;8;0;47;0;2;41;0;26;45;5;0;0;1;8;4;30;8;12;69;0;0;20;2;0;0;1
"2016_31";"2016-08-01";1;24;2;29;2;0;6;4;27;1;3;25;2;1;5;0;1;4;0;72;1;5;6;9;1;26;4;55;4;3;71;2;0;7;10;6;12;11;0;24;0;1;0;27;0;1;9;2;1;18;2;0;1;0
"2016_30";"2016-07-25";1;30;3;5;2;1;8;2;3;3;0;18;0;1;4;0;1;4;7;106;4;3;5;79;1;9;0;44;5;0;101;0;2;21;5;5;15;7;2;12;2;1;4;20;3;6;49;0;0;14;1;2;1;0
"2016_29";"2016-07-18";1;3;0;27;1;0;7;8;68;4;1;27;1;1;1;0;0;7;8;24;1;2;0;61;1;14;3;55;2;0;10;4;2;14;11;21;22;21;0;18;2;9;2;32;3;3;35;0;1;15;0;0;1;1
"2016_28";"2016-07-11";1;5;1;13;2;1;8;0;111;3;3;3;2;2;4;1;1;3;6;89;5;5;3;82;0;1;7;5;8;1;27;0;0;60;12;24;8;10;3;14;2;1;4;11;3;13;14;2;0;15;2;1;1;1
"2016_27";"2016-07-04";0;10;0;0;1;0;8;4;12;3;1;28;3;0;1;1;1;8;5;96;3;2;9;47;1;5;6;7;1;0;50;2;0;49;13;14;47;7;3;2;1;2;1;28;7;13;25;2;0;8;0;0;0;1
"2016_26";"2016-06-27";0;22;3;29;1;2;4;7;49;3;0;6;0;2;0;1;1;7;1;22;2;3;8;69;1;27;8;23;0;1;108;1;2;13;12;26;21;12;2;14;1;6;5;12;2;15;66;3;1;9;0;1;2;0
"2016_25";"2016-06-20";1;9;2;18;2;1;1;7;14;2;0;15;4;0;3;1;0;1;8;86;6;1;7;48;1;10;1;14;5;2;53;1;2;35;8;0;15;4;2;18;0;5;5;28;5;9;72;1;0;11;0;0;0;0
"2016_24";"2016-06-13";0;17;2;16;2;2;8;8;109;3;4;29;0;0;1;1;1;14;1;46;4;2;0;11;0;17;5;40;5;0;41;1;1;15;1;26;40;14;1;6;1;3;3;21;2;5;10;2;1;7;1;2;2;0
"2016_23";"2016-06-06";1;9;1;17;1;1;11;5;98;3;1;17;1;1;0;1;0;16;4;62;0;5;6;39;1;9;3;54;1;1;41;2;2;20;9;24;27;23;3;5;1;5;3;14;6;3;4;1;0;10;0;0;1;1
"2016_22";"2016-05-30";1;14;1;15;1;1;0;6;74;0;0;19;1;1;3;0;0;13;0;76;3;2;9;73;0;4;5;10;9;1;14;2;2;45;6;2;27;12;2;14;0;9;2;11;5;0;5;1;0;13;0;2;1;0
"2016_21";"2016-05-23";0;0;3;19;2;0;12;3;59;3;2;8;2;2;1;1;0;2;6;32;0;4;5;65;1;13;4;30;5;3;103;4;0;53;6;7;3;3;0;10;1;1;0;10;2;14;22;1;0;20;2;1;2;1
"2016_20";"2016-05-16";1;12;3;23;2;2;1;6;29;1;4;14;0;2;5;1;2;8;1;90;4;3;7;37;0;21;1;5;6;1;4;1;0;38;2;27;2;5;1;17;1;1;2;11;7;4;9;3;0;11;2;2;1;0
"2016_19";"2016-05-09";1;32;3;24;1;0;8;5;47;4;3;31;1;0;5;1;2;9;6;22;6;5;4;17;0;8;3;49;7;0;30;2;0;52;6;28;22;3;3;16;0;9;4;12;7;2;74;1;0;20;1;1;1;0
"2016_18";"2016-05-02";0;25;2;27;2;2;12;4;27;0;1;3;1;1;4;1;1;4;9;76;3;1;2;42;1;21;2;14;3;2;47;4;2;27;11;0;49;11;0;4;1;2;4;2;6;3;27;0;0;3;2;2;0;0
"2016_17";"2016-04-25";0;14;3;3;1;0;8;3;32;1;5;7;3;1;3;1;0;8;3;45;4;4;6;82;0;25;4;25;8;3;2;1;1;42;13;12;48;19;1;14;2;1;2;21;5;9;15;4;0;17;0;2;1;1
"2016_16";"2016-04-18";1;12;0;25;2;2;4;3;22;0;1;5;0;1;4;1;2;13;2;62;0;1;5;2;0;19;2;57;3;2;105;1;0;58;4;11;34;17;0;5;0;4;3;7;8;8;49;3;1;13;1;2;1;0
"2016_15";"2016-04-11";1;5;0;21;1;1;4;5;42;0;3;39;2;0;3;0;1;14;9;7;4;1;3;78;0;7;7;37;9;3;98;0;2;31;12;11;49;8;0;4;1;2;4;16;8;7;2;3;1;21;0;1;2;1
"2016_14";"2016-04-04";0;16;0;14;2;0;8;4;35;1;5;11;2;2;4;0;1;4;6;85;4;1;0;0;0;26;0;33;3;0;36;0;2;1;3;13;10;16;1;18;1;1;3;11;0;10;30;2;1;2;1;0;0;0
"2016_13";"2016-03-28";1;22;0;16;2;2;4;3;36;4;1;19;3;1;3;1;2;6;1;93;2;5;0;77;0;0;2;26;4;2;70;0;1;17;8;1;23;6;1;9;2;8;2;5;7;10;53;4;0;7;2;0;2;0
"2016_12";"2016-03-21";0;18;0;11;0;2;10;4;91;3;1;37;1;1;4;0;2;9;0;78;2;4;10;10;1;13;5;39;1;1;87;1;0;5;6;6;6;14;0;1;1;7;0;9;5;1;54;3;0;15;1;1;0;0
"2016_11";"2016-03-14";1;26;0;29;1;2;11;4;20;0;3;26;4;1;1;1;2;16;4;29;5;5;10;41;0;0;2;18;1;2;87;2;1;37;11;15;12;6;0;3;1;5;5;28;1;6;37;4;0;3;2;2;0;0
"2016_10";"2016-03-07";0;30;3;0;2;1;9;2;22;1;2;32;2;1;4;1;0;7;7;98;2;5;4;66;1;4;5;50;7;3;10;3;0;52;5;3;15;8;1;3;1;6;5;10;1;2;36;3;1;10;2;1;2;0
"2016_09";"2016-02-29";0;6;1;8;1;0;11;3;110;3;2;28;2;1;5;1;1;16;8;77;6;1;10;45;1;17;4;13;2;2;64;1;2;6;7;23;36;3;0;4;0;0;0;24;1;5;47;1;1;21;1;1;1;0
"2016_08";"2016-02-22";0;14;2;2;2;1;6;2;55;4;0;6;0;0;5;1;2;9;0;58;1;4;9;62;0;7;0;53;0;2;32;0;0;22;9;27;16;1;3;3;2;7;5;23;6;13;24;2;1;9;0;1;2;0
"2016_07";"2016-02-15";0;21;3;1;0;1;7;3;45;2;0;18;0;0;2;1;1;11;2;100;3;0;7;20;0;10;2;4;9;3;64;1;1;46;7;19;49;15;2;3;2;2;2;18;5;2;76;2;1;18;1;2;2;1
"2016_06";"2016-02-08";0;22;3;13;1;0;8;7;25;4;4;1;0;1;5;1;1;3;6;64;6;3;7;56;1;27;1;43;5;3;115;0;2;20;9;14;0;1;1;2;0;3;3;2;0;0;24;0;0;17;2;1;0;0
"2016_05";"2016-02-01";0;5;2;17;2;1;6;0;102;4;5;39;2;2;1;0;2;12;1;51;1;2;5;38;0;10;6;32;9;2;101;4;2;9;12;2;20;23;0;16;2;1;1;2;8;1;76;2;0;3;1;1;2;0
"2016_04";"2016-01-25";0;2;0;32;2;2;2;2;76;4;5;35;2;1;5;0;1;6;2;13;5;3;6;79;1;22;0;3;0;0;63;3;0;59;8;6;27;23;0;6;1;0;2;23;5;3;31;1;1;6;1;1;1;0
"2016_03";"2016-01-18";0;3;3;15;1;2;5;4;110;4;1;10;1;0;1;0;1;11;2;82;1;3;10;80;1;9;4;1;1;3;0;2;1;23;0;1;29;23;1;12;1;9;1;21;1;6;33;1;0;10;0;0;1;0
"2016_02";"2016-01-11";1;3;0;20;2;2;2;3;18;4;2;9;2;2;2;0;1;8;6;90;3;2;9;83;0;16;8;43;0;3;95;2;2;13;13;23;17;1;1;21;0;9;5;1;4;14;66;2;1;5;0;0;1;1
"2016_01";"2016-01-04";0;26;2;12;0;2;11;1;24;4;3;12;1;2;2;0;2;3;2;12;5;4;5;55;0;25;4;2;4;0;48;5;0;42;3;23;5;17;2;19;0;6;4;9;1;2;15;4;0;10;0;1;0;1
"2015_53";"2015-12-28";1;11;0;18;1;0;11;1;53;4;2;30;4;1;5;0;2;9;6;36;3;0;1;65;1;7;6;3;7;0;51;5;0;52;1;11;26;18;0;11;0;7;0;17;8;10;38;3;1;8;0;0;0;1
"2015_52";"2015-12-21";1;26;2;10;0;1;3;1;95;0;5;11;4;0;5;1;1;5;0;98;3;1;2;14;0;15;6;48;4;1;56;3;0;25;9;28;12;2;2;15;2;0;1;29;1;6;24;2;0;8;1;1;2;1
"2015_51";"2015-12-14";1;32;2;28;2;1;3;7;79;2;2;15;2;1;5;1;2;13;7;52;2;0;9;14;0;24;1;50;6;1;31;4;0;5;4;1;7;5;2;9;0;6;1;5;3;8;68;2;0;20;2;2;2;0
"2015_50";"2015-12-07";0;5;3;3;2;2;9;1;79;1;0;5;3;1;4;0;1;16;7;40;6;2;7;82;1;13;2;14;3;3;43;3;0;3;7;17;33;19;2;8;2;3;5;22;5;11;4;2;1;11;2;0;2;1
"2015_49";"2015-11-30";0;13;0;5;2;2;12;6;21;2;2;1;1;0;5;0;2;0;8;84;6;2;0;1;0;19;5;33;5;1;90;5;0;4;9;4;4;5;0;7;2;4;0;24;8;11;62;3;0;23;1;1;2;1
"2015_48";"2015-11-23";1;1;0;11;0;2;5;0;103;0;2;3;4;1;4;1;0;0;6;98;1;3;7;67;1;7;8;50;9;0;6;2;0;38;12;15;29;6;3;15;2;8;0;1;7;15;77;1;0;20;1;2;2;0
"2015_47";"2015-11-16";0;18;1;9;1;2;7;2;5;1;4;26;4;1;4;1;1;3;5;39;5;4;1;56;0;1;1;30;6;1;71;4;0;33;6;13;33;14;1;1;2;3;5;27;1;4;69;3;1;14;2;1;2;1
"2015_46";"2015-11-09";0;5;1;27;0;1;9;4;69;4;0;31;1;1;1;1;2;12;9;53;6;4;1;60;1;29;8;17;3;0;60;2;1;60;10;20;23;18;3;2;1;3;0;32;6;9;51;2;1;20;1;1;0;0
"2015_45";"2015-11-02";1;20;0;28;0;2;3;0;106;3;0;30;1;1;1;0;1;12;6;27;3;0;0;1;0;29;6;55;7;1;59;1;1;20;7;17;7;18;3;18;1;1;5;14;3;10;46;3;1;12;2;0;1;0
"2015_44";"2015-10-26";1;26;1;5;1;0;11;4;65;1;5;9;0;1;4;1;1;16;6;62;2;4;7;36;1;25;1;6;7;2;24;4;1;47;13;24;33;14;0;19;1;7;4;25;1;13;57;1;1;12;1;0;1;0
"2015_43";"2015-10-19";1;11;2;30;1;0;8;6;94;2;3;15;4;0;3;1;2;2;6;35;1;5;1;63;0;22;5;16;1;2;95;1;2;26;7;4;39;18;3;8;0;2;5;28;5;13;60;3;1;16;1;1;1;1
"2015_42";"2015-10-12";0;3;2;33;1;1;11;8;63;3;1;0;2;2;1;1;2;12;2;43;3;5;9;43;0;23;4;40;1;3;12;2;0;55;7;27;30;2;2;15;0;6;0;0;2;11;46;4;0;9;0;2;2;0
"2015_41";"2015-10-05";0;5;2;25;2;0;7;6;11;3;4;36;2;1;5;0;0;5;8;12;6;1;9;31;1;0;1;46;0;2;19;1;2;50;4;24;2;7;2;4;0;7;1;3;1;8;25;0;1;1;0;2;0;1
"2015_40";"2015-09-28";1;29;3;18;0;2;9;1;27;2;5;31;2;1;1;0;2;15;1;89;2;4;3;55;1;15;1;36;8;3;60;5;2;53;5;16;37;23;3;21;0;4;3;17;7;15;24;3;0;11;1;0;2;0
"2015_39";"2015-09-21";1;3;2;5;0;2;7;5;69;2;5;23;2;2;0;1;0;9;4;43;6;1;10;21;0;16;0;29;5;3;17;0;2;60;10;7;35;15;0;9;1;2;2;21;8;15;25;3;0;19;2;2;2;0
"2015_38";"2015-09-14";0;2;1;0;1;2;2;5;17;3;0;12;0;2;3;0;1;15;9;49;6;0;9;69;0;2;7;48;6;3;58;4;1;32;3;16;24;8;0;3;0;4;1;28;1;4;60;2;0;8;1;0;0;0
"2015_37";"2015-09-07";0;28;1;22;0;1;7;3;49;3;5;19;3;1;2;1;0;0;2;37;4;2;10;53;1;20;5;44;3;0;38;5;2;50;9;11;17;19;3;10;2;9;4;32;0;14;59;1;1;15;0;1;1;0
"2015_36";"2015-08-31";0;1;2;23;0;2;0;0;21;2;4;23;0;2;2;1;1;5;6;59;5;0;2;33;1;21;2;19;9;2;57;0;2;49;11;4;49;11;1;0;0;7;3;14;3;6;35;2;0;19;2;1;1;1
"2015_35";"2015-08-24";0;26;3;2;2;0;11;2;29;4;2;15;1;1;0;0;2;14;3;105;3;4;4;62;0;16;5;0;6;2;45;3;1;41;9;20;27;15;3;20;1;5;1;17;8;1;40;4;0;2;1;2;0;1
"2015_34";"2015-08-17";0;14;3;13;0;0;9;6;1;0;1;23;3;0;4;0;1;4;5;38;6;1;9;36;1;15;5;25;3;2;58;0;0;7;7;2;32;13;1;2;1;7;5;12;8;11;1;2;0;10;0;2;2;0
"2015_33";"2015-08-10";1;20;2;31;0;2;2;8;78;1;0;2;3;2;4;1;1;5;9;68;6;4;10;52;0;18;4;4;9;2;30;3;2;53;4;21;36;18;0;20;1;8;2;24;6;2;57;2;0;14;0;1;2;1
"2015_32";"2015-08-03";1;26;3;17;2;1;8;2;74;4;5;13;1;1;0;0;1;4;6;85;1;5;4;4;0;16;0;44;9;2;93;2;2;45;13;9;32;22;0;16;0;5;3;18;3;9;57;1;1;6;1;2;1;1
"2015_31";"2015-07-27";0;15;3;11;0;1;4;6;80;4;0;5;2;2;0;1;2;16;5;14;3;4;0;18;1;5;3;20;9;2;56;2;1;11;4;1;6;8;1;21;2;6;5;16;8;13;74;4;1;0;0;1;0;1
"2015_30";"2015-07-20";1;11;0;32;0;1;4;6;29;0;1;8;0;0;0;1;2;16;5;25;4;1;5;11;0;28;7;6;9;1;2;4;2;56;4;23;38;19;1;10;0;3;2;22;5;14;8;1;1;1;1;0;0;0
"2015_29";"2015-07-13";0;21;2;23;1;0;10;5;71;0;1;16;1;1;3;0;0;1;4;30;6;3;5;31;0;7;6;0;0;3;61;2;2;16;12;7;13;19;0;9;1;5;4;25;0;1;35;0;1;1;2;0;0;0
"2015_28";"2015-07-06";0;27;2;22;0;0;7;3;81;3;1;3;1;2;1;0;0;0;6;71;4;3;5;9;0;16;0;9;0;2;117;4;0;4;2;10;44;15;2;1;1;6;3;27;3;9;4;1;1;1;1;2;2;0
"2015_27";"2015-06-29";0;31;0;0;0;1;3;5;100;1;0;34;1;2;0;0;2;4;3;104;0;2;8;47;1;26;3;48;5;0;98;3;0;4;6;5;47;17;0;22;1;9;5;2;2;1;56;2;1;16;1;2;0;0
"2015_26";"2015-06-22";1;5;2;28;0;0;11;8;74;3;3;37;3;2;5;0;0;5;7;46;6;4;3;78;1;7;5;36;3;3;112;0;2;52;5;6;32;13;2;21;1;3;2;15;7;8;0;1;1;24;2;0;0;0
"2015_25";"2015-06-15";1;17;3;10;1;1;9;5;79;4;2;18;1;0;0;0;1;4;9;70;3;2;5;78;0;11;8;32;9;2;20;5;0;38;3;22;1;1;1;11;2;4;0;21;0;12;35;2;0;23;2;2;0;1
"2015_24";"2015-06-08";0;15;0;29;2;2;10;4;47;1;1;1;4;2;3;1;2;15;3;60;5;5;0;22;0;23;0;5;9;2;111;1;1;58;2;12;7;6;3;8;2;7;0;21;3;14;27;3;1;2;2;0;1;1
"2015_23";"2015-06-01";1;7;1;5;2;1;2;1;91;1;0;32;2;2;4;1;2;8;6;106;1;2;2;67;1;25;0;14;8;0;11;4;1;43;0;17;37;14;0;0;2;7;2;23;0;6;65;3;0;16;1;2;1;0
"2015_22";"2015-05-25";1;11;2;2;0;0;10;4;0;3;2;13;1;0;5;1;0;4;9;27;4;5;1;8;1;26;2;4;1;2;14;5;1;25;3;24;26;22;1;13;0;8;4;13;4;5;36;0;0;24;2;0;0;0
"2015_21";"2015-05-18";0;10;2;26;1;2;5;8;38;1;5;4;4;0;0;0;2;8;5;41;0;2;1;28;0;12;2;58;3;0;105;3;2;14;6;25;2;14;2;20;0;7;3;29;0;12;64;0;0;20;2;0;2;0
"2015_20";"2015-05-11";1;19;1;16;1;2;11;0;51;1;5;36;1;2;0;1;0;7;8;0;4;5;10;77;0;11;1;14;0;3;61;3;1;50;0;24;15;1;0;13;2;3;5;30;8;0;41;4;1;6;1;0;0;1
"2015_19";"2015-05-04";1;10;3;2;0;0;12;2;27;2;4;35;2;2;3;0;1;3;1;50;0;3;7;13;0;14;3;1;0;0;41;1;2;17;11;5;20;14;3;8;0;4;4;21;1;14;34;4;0;14;0;0;0;0
"2015_18";"2015-04-27";0;30;2;5;1;0;1;3;82;4;5;33;4;1;5;1;1;9;7;89;1;2;4;4;1;9;0;34;8;0;1;0;2;30;12;10;48;5;1;14;1;8;5;13;2;11;23;3;0;6;2;0;0;0
"2015_17";"2015-04-20";1;2;3;10;0;1;10;6;27;1;5;9;0;2;3;0;0;1;8;48;4;5;9;75;0;17;0;56;1;3;42;3;1;9;10;1;49;17;0;5;0;7;5;31;1;6;35;3;0;4;0;2;0;0
"2015_16";"2015-04-13";1;13;2;26;0;1;11;3;64;0;1;23;2;2;1;1;0;9;1;16;5;3;9;63;1;5;2;14;8;3;64;0;2;20;12;3;11;18;3;9;1;5;4;3;2;1;54;1;1;11;1;1;2;1
"2015_15";"2015-04-06";0;30;1;3;2;1;12;0;106;3;1;37;3;1;5;0;0;7;2;85;1;0;0;58;0;23;3;44;1;2;96;3;2;27;11;25;3;8;2;2;1;2;1;30;1;5;77;1;0;7;1;0;0;1
"2015_14";"2015-03-30";0;18;2;21;1;2;1;2;64;0;3;38;0;2;1;1;2;4;5;44;2;1;0;13;0;12;2;0;0;1;48;2;2;31;1;1;48;9;1;20;1;7;4;3;6;12;34;3;0;16;0;1;0;1
"2015_13";"2015-03-23";1;22;1;28;1;1;6;8;103;4;3;12;0;1;3;1;1;11;1;57;4;2;6;62;0;8;5;26;3;2;46;2;1;26;10;26;15;2;1;11;2;0;1;13;1;4;18;1;0;1;1;0;2;1
"2015_12";"2015-03-16";0;17;2;29;0;2;11;0;37;0;1;3;4;1;3;1;1;6;0;31;3;1;6;14;1;27;3;47;4;3;115;5;2;51;13;4;24;18;0;21;2;4;1;17;8;9;34;3;1;17;2;1;0;0
"2015_11";"2015-03-09";0;5;3;27;0;1;0;5;24;4;5;38;2;0;3;0;2;0;7;34;1;2;3;64;1;8;5;28;2;3;40;2;1;30;10;6;7;10;1;0;2;4;3;12;3;12;46;4;0;20;2;0;1;1
"2015_10";"2015-03-02";1;9;0;23;1;1;2;7;87;2;2;1;4;2;5;0;2;1;1;45;5;3;9;50;0;12;4;41;8;1;85;5;0;21;4;20;3;5;2;13;0;3;0;24;7;7;58;0;1;6;0;1;0;1
"2015_09";"2015-02-23";0;3;1;20;1;0;7;6;110;1;3;29;1;1;1;1;1;7;2;20;6;0;0;27;1;11;3;22;5;1;1;2;0;38;8;22;46;0;1;14;1;6;5;31;3;3;37;4;0;21;2;2;0;1
"2015_08";"2015-02-16";1;6;0;7;2;2;0;2;97;4;4;31;0;0;3;0;1;13;7;56;1;4;1;80;1;23;2;33;6;3;19;1;1;37;2;4;32;0;2;18;1;0;0;1;2;11;9;3;1;14;2;1;0;1
"2015_07";"2015-02-09";1;18;2;10;0;2;4;7;61;1;3;30;0;2;0;1;1;9;7;70;0;2;6;33;0;7;0;5;5;0;58;0;0;52;7;6;18;16;1;7;1;4;4;5;4;15;18;2;0;7;1;1;2;1
"2015_06";"2015-02-02";0;8;2;1;0;2;11;8;29;4;5;34;4;1;2;0;0;2;3;93;5;1;2;77;0;4;1;51;4;0;90;5;0;11;1;4;1;18;2;20;1;4;2;5;8;4;16;0;1;20;0;1;2;0
"2015_05";"2015-01-26";0;22;0;0;0;1;1;0;53;3;1;39;1;0;3;0;0;9;6;38;3;2;7;42;1;14;3;39;9;2;77;1;2;53;5;9;41;16;3;17;0;8;1;6;6;6;22;2;0;7;0;1;0;0
"2015_04";"2015-01-19";0;7;1;33;2;2;0;4;109;0;3;22;0;1;1;1;2;14;0;28;0;4;0;60;1;4;8;15;3;2;98;5;2;35;7;3;29;0;0;16;1;0;3;25;3;6;45;4;1;21;1;1;0;0
"2015_03";"2015-01-12";0;28;1;26;2;0;11;4;32;2;1;8;0;1;3;0;0;5;2;98;2;5;6;78;0;14;8;56;6;3;1;3;0;2;5;5;34;10;1;20;2;9;2;1;3;3;73;1;1;19;0;1;1;1
"2015_02";"2015-01-05";1;10;3;10;0;1;12;0;67;4;4;24;1;0;1;1;1;12;8;60;5;2;7;29;1;29;8;25;4;3;100;4;1;24;6;14;36;4;1;18;2;5;0;7;8;1;8;1;1;11;2;0;2;0
"2015_01";"2014-12-29";0;24;3;7;1;0;9;5;74;2;1;14;4;1;2;0;2;9;1;0;5;1;2;56;0;24;1;5;2;1;35;5;1;31;10;8;26;10;1;23;2;7;0;16;1;7;70;2;1;21;2;0;1;1
"2014_52";"2014-12-22";0;6;1;7;1;0;2;1;93;2;1;12;2;1;5;1;2;13;3;39;5;4;2;72;1;25;8;58;3;0;81;0;2;2;4;0;5;13;0;9;2;4;2;14;8;9;72;1;0;6;1;1;1;0
"2014_51";"2014-12-15";0;13;0;30;0;1;0;1;2;1;0;18;2;2;4;1;2;15;8;38;6;1;4;75;0;26;0;50;2;3;115;0;1;4;2;26;3;3;3;18;2;8;2;19;7;15;57;1;1;14;2;0;1;1
